0,1,2,3,4
Vlade Divac,9641000,2000,2001,Sacramento Kings
Tom Gugliotta,9336000,2000,2001,Phoenix Suns
Allan Houston,9000000,2000,2001,New York Knicks
Keith Van Horn,9000000,2000,2001,New Jersey Nets
Eddie Jones,8960000,2000,2001,Miami Heat
Brian Grant,8897000,2000,2001,Miami Heat
Tim Thomas,8507000,2000,2001,Milwaukee Bucks
Michael Finley,8400000,2000,2001,Dallas Mavericks
Shawn Bradley,8370000,2000,2001,Dallas Mavericks
Terrell Brandon,8325000,2000,2001,Minnesota Timberwolves
Nick Van Exel,8184000,2000,2001,Denver Nuggets
Glenn Robinson,8120000,2000,2001,Milwaukee Bucks
Steve Smith,8100000,2000,2001,Portland Trail Blazers
Elden Campbell,8050000,2000,2001,Charlotte Hornets
Derrick Coleman,8040000,2000,2001,Charlotte Hornets
Avery Johnson,8000000,2000,2001,San Antonio Spurs
Horace Grant,7843000,2000,2001,Los Angeles Lakers
Theo Ratliff,7800000,2000,2001,Philadelphia 76ers
Jason Kidd,7630000,2000,2001,Phoenix Suns
Glen Rice,7578000,2000,2001,New York Knicks
Kenny Anderson,7520000,2000,2001,Boston Celtics
Matt Geiger,7515000,2000,2001,Philadelphia 76ers
Tyrone Hill,7415000,2000,2001,Philadelphia 76ers
Toni Kukoc,7167000,2000,2001,Philadelphia 76ers
Clifford Robinson,6890000,2000,2001,Phoenix Suns
Christian Laettner,6625000,2000,2001,Washington Wizards
Chris Dudley,6200000,2000,2001,Phoenix Suns
Jamal Mashburn,6200000,2000,2001,Charlotte Hornets
Dale Davis,6175000,2000,2001,Portland Trail Blazers
Alan Henderson,5909000,2000,2001,Atlanta Hawks
P.J. Brown,5764000,2000,2001,Charlotte Hornets
Luc Longley,5750000,2000,2001,New York Knicks
Marcus Camby,5750000,2000,2001,New York Knicks
Jermaine O'Neal,5700000,2000,2001,Indiana Pacers
Donyell Marshall,5630000,2000,2001,Utah Jazz
Bryant Stith,5620000,2000,2001,Boston Celtics
Erick Dampier,5611000,2000,2001,Golden State Warriors
Wesley Person,5600000,2000,2001,Cleveland Cavaliers
Anthony Mason,5553000,2000,2001,Miami Heat
Ron Mercer,5515000,2000,2001,Chicago Bulls
Isaac Austin,5500000,2000,2001,Vancouver Grizzlies
Antonio Davis,5500000,2000,2001,Toronto Raptors
Steve Nash,5500000,2000,2001,Dallas Mavericks
Derrick McKey,5400000,2000,2001,Indiana Pacers
Kelvin Cato,5400000,2000,2001,Houston Rockets
Jim Mcilvaine,5400000,2000,2001,New Jersey Nets
Sean Elliott,5333000,2000,2001,San Antonio Spurs
Robert Horry,5300000,2000,2001,Los Angeles Lakers
Austin Croshere,5298000,2000,2001,Indiana Pacers
Greg Ostertag,5200000,2000,2001,Utah Jazz
